crate	version	scope	declared_license	review_route	archive_sha256	archive_url	notice_files
adler2	2.0.1	transitive	0BSD OR MIT OR Apache-2.0	MIT	320119579fcad9c21884f5c4861d16174d0e06250625266f50fe6898340abefa	https://crates.io/api/v1/crates/adler2/2.0.1/download	LICENSE-0BSD; LICENSE-APACHE; LICENSE-MIT
aho-corasick	1.1.4	transitive	Unlicense OR MIT	MIT	ddd31a130427c27518df266943a5308ed92d4b226cc639f5a8f1002816174301	https://crates.io/api/v1/crates/aho-corasick/1.1.4/download	COPYING; LICENSE-MIT; UNLICENSE
allocator-api2	0.2.21	transitive	MIT OR Apache-2.0	MIT	683d7910e743518b0e34f1186f92494becacb047c7b6bf616c96772180fef923	https://crates.io/api/v1/crates/allocator-api2/0.2.21/download	LICENSE-APACHE; LICENSE-MIT
android_system_properties	0.1.5	transitive	MIT/Apache-2.0	MIT	819e7219dbd41043ac279b19830f2efc897156490d7fd6ea916720117ee66311	https://crates.io/api/v1/crates/android_system_properties/0.1.5/download	LICENSE-APACHE; LICENSE-MIT
anstream	1.0.0	transitive	MIT OR Apache-2.0	MIT	824a212faf96e9acacdbd09febd34438f8f711fb84e09a8916013cd7815ca28d	https://crates.io/api/v1/crates/anstream/1.0.0/download	LICENSE-APACHE; LICENSE-MIT
anstyle	1.0.14	transitive	MIT OR Apache-2.0	MIT	940b3a0ca603d1eade50a4846a2afffd5ef57a9feac2c0e2ec2e14f9ead76000	https://crates.io/api/v1/crates/anstyle/1.0.14/download	LICENSE-APACHE; LICENSE-MIT
anstyle-parse	1.0.0	transitive	MIT OR Apache-2.0	MIT	52ce7f38b242319f7cabaa6813055467063ecdc9d355bbb4ce0c68908cd8130e	https://crates.io/api/v1/crates/anstyle-parse/1.0.0/download	LICENSE-APACHE; LICENSE-MIT
anstyle-query	1.1.5	transitive	MIT OR Apache-2.0	MIT	40c48f72fd53cd289104fc64099abca73db4166ad86ea0b4341abe65af83dadc	https://crates.io/api/v1/crates/anstyle-query/1.1.5/download	LICENSE-APACHE; LICENSE-MIT
anstyle-wincon	3.0.11	transitive	MIT OR Apache-2.0	MIT	291e6a250ff86cd4a820112fb8898808a366d8f9f58ce16d1f538353ad55747d	https://crates.io/api/v1/crates/anstyle-wincon/3.0.11/download	LICENSE-APACHE; LICENSE-MIT
arbitrary	1.4.2	transitive	MIT OR Apache-2.0	MIT	c3d036a3c4ab069c7b410a2ce876bd74808d2d0888a82667669f8e783a898bf1	https://crates.io/api/v1/crates/arbitrary/1.4.2/download	LICENSE-APACHE; LICENSE-MIT
argon2	0.5.3	normal	MIT OR Apache-2.0	MIT	3c3610892ee6e0cbce8ae2700349fcf8f98adb0dbfbee85aec3c9179d29cc072	https://crates.io/api/v1/crates/argon2/0.5.3/download	LICENSE-APACHE; LICENSE-MIT
atoi	2.0.0	transitive	MIT	MIT	f28d99ec8bfea296261ca1af174f24225171fea9664ba9003cbebee704810528	https://crates.io/api/v1/crates/atoi/2.0.0/download	LICENSE
atomic-waker	1.1.2	transitive	Apache-2.0 OR MIT	MIT	1505bd5d3d116872e7271a6d4e16d81d0c8570876c8de68093a09ac269d8aac0	https://crates.io/api/v1/crates/atomic-waker/1.1.2/download	LICENSE-APACHE; LICENSE-MIT; LICENSE-THIRD-PARTY
autocfg	1.5.1	transitive	Apache-2.0 OR MIT	MIT	f2032f911046de80f0a198e0901378627c33f59ea0ac00e363d481118bd70a53	https://crates.io/api/v1/crates/autocfg/1.5.1/download	LICENSE-APACHE; LICENSE-MIT
axum	0.8.9	normal	MIT	MIT	31b698c5f9a010f6573133b09e0de5408834d0c82f8d7475a89fc1867a71cd90	https://crates.io/api/v1/crates/axum/0.8.9/download	LICENSE
axum-core	0.5.6	transitive	MIT	MIT	08c78f31d7b1291f7ee735c1c6780ccde7785daae9a9206026862dab7d8792d1	https://crates.io/api/v1/crates/axum-core/0.5.6/download	LICENSE
base64	0.22.1	normal	MIT OR Apache-2.0	MIT	72b3254f16251a8381aa12e40e3c4d2f0199f8c6508fbecb9d91f575e0fbb8c6	https://crates.io/api/v1/crates/base64/0.22.1/download	LICENSE-APACHE; LICENSE-MIT
base64ct	1.8.3	transitive	Apache-2.0 OR MIT	MIT	2af50177e190e07a26ab74f8b1efbfe2ef87da2116221318cb1c2e82baf7de06	https://crates.io/api/v1/crates/base64ct/1.8.3/download	LICENSE-APACHE; LICENSE-MIT
bitflags	2.13.0	transitive	MIT OR Apache-2.0	MIT	b4388bee8683e3d04af747c73422af53102d2bd24d9eadb6cbc100baef4b43f8	https://crates.io/api/v1/crates/bitflags/2.13.0/download	LICENSE-APACHE; LICENSE-MIT
blake2	0.10.6	transitive	MIT OR Apache-2.0	MIT	46502ad458c9a52b69d4d4d32775c788b7a1b85e8bc9d482d92250fc0e3f8efe	https://crates.io/api/v1/crates/blake2/0.10.6/download	LICENSE-APACHE; LICENSE-MIT
block-buffer	0.10.4	transitive	MIT OR Apache-2.0	MIT	3078c7629b62d3f0439517fa394996acacc5cbc91c5a20d8c658e77abd503a71	https://crates.io/api/v1/crates/block-buffer/0.10.4/download	LICENSE-APACHE; LICENSE-MIT
bumpalo	3.20.3	transitive	MIT OR Apache-2.0	MIT	72f5acc6cb2ba439de613abc23857ec3d78374d8ed5ac84e9d11336e87da8649	https://crates.io/api/v1/crates/bumpalo/3.20.3/download	LICENSE-APACHE; LICENSE-MIT
